,mpid,fname,sname,party,url
119,42876,Tom,Collins,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42876
120,43249,Victoria,Collins,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43249
121,42980,Liam,Conlon,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42980
122,43075,Sarah,Coombes,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43075
123,43066,Andrew,Cooper,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43066
124,43205,Beccy,Cooper,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43205
125,43336,Daisy,Cooper,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43336
126,43429,John,Cooper,Con,https://www.publicwhip.org.uk/mp.php?mpid=43429
127,43146,Yvette,Cooper,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43146
128,42878,Jeremy,Corbyn,Independent,https://www.publicwhip.org.uk/mp.php?mpid=42878
129,43095,Alberto,Costa,Con,https://www.publicwhip.org.uk/mp.php?mpid=43095
130,42942,Deirdre,Costigan,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42942
131,43080,Claire,Coutinho,Con,https://www.publicwhip.org.uk/mp.php?mpid=43080
132,43397,Geoffrey,Cox,Con,https://www.publicwhip.org.uk/mp.php?mpid=43397
133,42817,Pam,Cox,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42817
134,42895,Neil,Coyle,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42895
135,42856,Jennifer,Craft,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42856
136,42841,Mary,Creagh,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42841
137,42870,Stella,Creasy,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42870
138,43166,Torcuil,Crichton,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43166
139,43248,Harriet,Cross,Con,https://www.publicwhip.org.uk/mp.php?mpid=43248
140,43348,Judith,Cummins,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43348
141,42964,Chris,Curtis,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42964
142,43134,Janet,Daby,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43134
143,42854,Nicholas,Dakin,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42854
144,42931,Ashley,Dalton,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42931
145,43086,Adam,Dance,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43086
146,42868,Steve,Darling,LDem,https://www.publicwhip.org.uk/mp.php?mpid=42868
147,42997,Emily,Darlington,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42997
148,42801,Edward,Davey,LDem,https://www.publicwhip.org.uk/mp.php?mpid=42801
149,42898,Ann,Davies,PC,https://www.publicwhip.org.uk/mp.php?mpid=42898
150,43048,Gareth,Davies,Con,https://www.publicwhip.org.uk/mp.php?mpid=43048
151,43288,Jonathan,Davies,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43288
152,43321,Mims,Davies,Con,https://www.publicwhip.org.uk/mp.php?mpid=43321
153,43247,Paul,Davies,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43247
154,42831,Shaun,Davies,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42831
155,42851,Alex,Davies-Jones,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42851
156,43211,David,Davis,Con,https://www.publicwhip.org.uk/mp.php?mpid=43211
157,42811,Marsha,de Cordova,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42811
158,42919,Bobby,Dean,LDem,https://www.publicwhip.org.uk/mp.php?mpid=42919
159,43082,Josh,Dean,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43082
160,43266,Kate,Dearden,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43266
161,42936,Carla,Denyer,Green,https://www.publicwhip.org.uk/mp.php?mpid=42936
162,43091,Charlie,Dewhirst,Con,https://www.publicwhip.org.uk/mp.php?mpid=43091
163,42893,Tan,Dhesi,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42893
164,43265,Jim,Dickson,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43265
165,43335,Lee,Dillon,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43335
166,43047,Caroline,Dinenage,Con,https://www.publicwhip.org.uk/mp.php?mpid=43047
167,43227,Anna,Dixon,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43227
